IB (A),IA (A),ang (deg),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
-10,-10,0,-0.047289919153219555,0.029438263195794283,0.0238866807209624
-9,-10,0,-0.04728741887303583,0.029921599830989173,0.0233908443602627
-8,-10,0,-0.047285018153520444,0.03040340224694699,0.02289046330520011
-7,-10,0,-0.04728262040723231,0.030882030092564784,0.022381692259048493
-6,-10,0,-0.047280170231227076,0.031355010738653905,0.021868060588504205
-5,-10,0,-0.04727759126971297,0.0318253306820994,0.0213452673803353
-4,-10,0,-0.04727441108722212,0.03229373894052077,0.020811836016753595
-3,-10,0,-0.04727143190190133,0.03274836895508969,0.02027498011033138
-2,-10,0,-0.04726911815580284,0.03318665349221103,0.019732744075665304
-1,-10,0,-0.047267629149162556,0.033615755890338515,0.019167075721604858
0,-10,0,-0.04726571518478012,0.034043667596377496,0.01859441857436383
1,-10,0,-0.04726350754826122,0.034466703034417866,0.01801795154669867
2,-10,0,-0.04726011321271026,0.034871719480553696,0.017439802137539092
3,-10,0,-0.04725609933526147,0.03526513240141418,0.016859403184401718
4,-10,0,-0.047250396560467055,0.03565410892512825,0.016276811781017055
5,-10,0,-0.04724422978459008,0.036041685058170146,0.01569256107328669
6,-10,0,-0.04723783201776464,0.03642955540804737,0.015107125486726882
7,-10,0,-0.047230719043049575,0.03681100378071814,0.014521665915966552
8,-10,0,-0.0472221600720869,0.037177221253218366,0.013937292495217494
9,-10,0,-0.047213279010418385,0.03752913894997127,0.0133537577270686
10,-10,0,-0.04720251261853238,0.03787500131897908,0.01276879086562171
-10,-9,0,-0.047085632992859686,0.029470381519892765,0.02342019834933683
-9,-9,0,-0.047083413048144146,0.0299532321371368,0.022919710095276873
-8,-9,0,-0.04708091522355851,0.030436077110764084,0.022410624590433362
-7,-9,0,-0.0470779537822314,0.030914679836361616,0.021896411134753973
-6,-9,0,-0.04707452023381064,0.031387816980354095,0.02137449287796019
-5,-9,0,-0.04707170215634131,0.031857512895437846,0.02084227917189285
-4,-9,0,-0.04706917320685977,0.032326626019851666,0.020304883462752374
-3,-9,0,-0.047065675687863656,0.03278018289103257,0.01976111455942423
-2,-9,0,-0.04706374427090892,0.0332159972505245,0.019194600439219084
-1,-9,0,-0.04706010867428216,0.03364507316152851,0.018620984878930474
0,-9,0,-0.04705503626446997,0.034073366787248566,0.018043344514556584
1,-9,0,-0.047050189464008615,0.03449622361157155,0.017464373164916506
2,-9,0,-0.04704418999149544,0.03490071932749426,0.016883033482394654
3,-9,0,-0.04703760697529755,0.03529440033352301,0.016299757815111976
4,-9,0,-0.04703102097658004,0.03568358651291625,0.0157155824676561
5,-9,0,-0.04702446186471021,0.03607113394982584,0.015130281248105669
6,-9,0,-0.04701788359296567,0.036458194346207964,0.014544653969356842
7,-9,0,-0.047011871716846086,0.036840843876213426,0.0139592595716844
8,-9,0,-0.04700460094680242,0.03720736494312418,0.013375236268257939
9,-9,0,-0.046996704916524246,0.03756010631322273,0.012789760495034098
10,-9,0,-0.046987132418526714,0.03790728945687987,0.012203609920718773
-10,-8,0,-0.04687586661118278,0.029501888530912967,0.02294865220029734
