 ang (deg),IA (A),IB (A),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb),Axial torque (N*m)
0,-100,-100,-0.05950268330565398,-0.016396455193430973,0.05924493598971338,43.59807208012149
0,-100,-90,-0.05958206833465122,-0.01311369472134543,0.0582831618123364,41.91636794292434
0,-100,-80,-0.059640639565837664,-0.009060114241369514,0.05730418866040553,40.003284523714655
0,-100,-70,-0.05968140938610659,-0.004237088207599408,0.05629898355693163,37.83740901902465
0,-100,-60,-0.05971496085644229,8.087592695058322E-4,0.055233785369891174,35.551228992118
0,-100,-50,-0.05973520871437829,0.0059990478542688505,0.05406246606125158,33.124764335842855
0,-100,-40,-0.05974371554499433,0.011323742549618413,0.052795408004012896,30.565215343931076
0,-100,-30,-0.059745042554314946,0.016681010368966437,0.051403996258426364,27.90570148167336
0,-100,-20,-0.059750613987175835,0.021545278368537365,0.04979826974508499,25.27729727853278
0,-100,-10,-0.059760468482229205,0.025762006125837355,0.04788680964859709,22.692972764812833
0,-100,0,-0.059769360284052636,0.029454405315471364,0.045634620612836796,20.094853917781233
0,-100,10,-0.05976859376324657,0.03289751640928796,0.04300617587386443,17.38691562109617
0,-100,20,-0.0597552391841513,0.0362396179882165,0.04017552613431022,14.610614268309437
0,-100,30,-0.05973418023913694,0.03942368588057088,0.03722862894366899,11.826022951689401
0,-100,40,-0.0597091344302569,0.042520190432826725,0.03417632077628366,9.0172866617461
0,-100,50,-0.05968146195521613,0.04549854420671197,0.030900936473540544,6.171314892988462
0,-100,60,-0.05964983966612073,0.0482495893342087,0.027590502593292498,3.3717417405640675
0,-100,70,-0.05961758301927152,0.05055290063337121,0.024314153847582277,0.7301870198087976
0,-100,80,-0.059593129820571036,0.05246124626650461,0.020683770275684018,-1.8973276640473486
0,-100,90,-0.05958088768918892,0.05402973777568418,0.016483525640824656,-4.592436354227636
0,-100,100,-0.0595791893136481,0.055403418549980876,0.011579094436922826,-7.443148325320432
0,-90,-100,-0.058497510737270456,-0.016466352912065267,0.05831196262184814,42.83608475524979
0,-90,-90,-0.058593700102342876,-0.013163746880421753,0.057315889810095444,41.1279320695694
0,-90,-80,-0.0586532419142188,-0.009100566696107835,0.05630107666925455,39.18954022750501
0,-90,-70,-0.05868889015401971,-0.004267177861873027,0.05524120673201965,36.9866299252148
0,-90,-60,-0.05871161156288113,7.962239193317958E-4,0.05407818504457741,34.640308512737384
0,-90,-50,-0.058727975520046445,0.006008236137613735,0.05282883521733927,32.16302539821529
0,-90,-40,-0.058736748995385016,0.011369918142590066,0.05147048465777525,29.545863091358946
0,-90,-30,-0.05873037666709326,0.01677352595344868,0.04995273814243646,26.807408743028095
0,-90,-20,-0.05872374732674138,0.02176324090979481,0.04818290744536438,24.057451463423938
0,-90,-10,-0.05872192096371344,0.02613047046664702,0.04610902994483362,21.340306509929817
0,-90,0,-0.05871940907031506,0.030031428843407575,0.04363574588243768,18.56629275069887
0,-90,10,-0.058721536774344635,0.033561868989460356,0.040865539795330065,15.763264160932525
0,-90,20,-0.05871931198649971,0.03696083793165485,0.037957357665225046,12.934696334423732
0,-90,30,-0.05870286083948636,0.04020147436012064,0.03491706219437026,10.09648652025801
0,-90,40,-0.058683242019033265,0.04327082995421881,0.03162059095297846,7.211078295754168
0,-90,50,-0.05865761485903729,0.046209846093450274,0.028198119640946196,4.317569765181117
0,-90,60,-0.05862663182735604,0.04877791034628747,0.024727388834748065,1.5182585740079537
0,-90,70,-0.05860773205268307,0.050897120390378706,0.02091876703121317,-1.2500405323840664
0,-90,80,-0.05859458080486511,0.05263922198247051,0.016599809391504683,-4.060453594712838
0,-90,90,-0.05859314877604292,0.05411531629332126,0.011634158890507285,-6.972326149186239
0,-90,100,-0.05858353901882135,0.055442930314987156,0.006396614117765555,-9.912584203029311
0,-80,-100,-0.05739560824505153,-0.01654423576435697,0.057340382698493605,42.03127780026641
0,-80,-90,-0.05749391831597308,-0.013229824303787984,0.05631119914249437,40.29685466545764
0,-80,-80,-0.057563294408038077,-0.009143759138249444,0.05523816338997086,38.316110790965844
0,-80,-70,-0.057592870010995605,-0.004294528781584169,0.054079393169935375,36.05256640622167
0,-80,-60,-0.05761445334984816,7.872862461570801E-4,0.05284375225915686,33.65921908718494
0,-80,-50,-0.057631265936266024,0.006021166647017966,0.05150912856263731,31.132684149739703
0,-80,-40,-0.05763712631675235,0.011425515234534998,0.05003057062697461,28.440844574376037
0,-80,-30,-0.05763048604322271,0.016894957567231157,0.048358451337376124,25.60744763575842
0,-80,-20,-0.0576195973910762,0.022004803187825602,0.046431172306296904,22.74138224022585
0,-80,-10,-0.057614842271202144,0.02654987341629121,0.04414475196452862,19.866255955439307
0,-80,0,-0.05761622292698863,0.030610292229239264,0.04150009695525247,16.96516379504396
0,-80,10,-0.057616991047500225,0.03422965801257012,0.038647457229140716,14.097912521227776
0,-80,20,-0.057615934936947645,0.037664852297660666,0.035625991337574416,11.213767200065577
0,-80,30,-0.05760856235531663,0.04093386490020294,0.032341153088149166,8.278799039295022
0,-80,40,-0.057592989484209725,0.04399120033262444,0.028860414214381087,5.328671520605438
0,-80,50,-0.05757198347386003,0.046816325264969434,0.02519820449090375,2.379133203093193
0,-80,60,-0.05755435936139963,0.04917449465029752,0.021206885243501575,-0.5404713111714364
0,-80,70,-0.05754301156491308,0.05112582750796076,0.01675016500179463,-3.475245961289882
0,-80,80,-0.05753563450234937,0.052741663035946705,0.011697318370329973,-6.475100062727032
0,-80,90,-0.05752008154999175,0.05416934915142403,0.006412563727906297,-9.470425292600147
0,-80,100,-0.05749896418273188,0.05547283480727322,0.0012428288648925073,-12.386205327134254
0,-70,-100,-0.056194432065013344,-0.016636090797398046,0.056332701941123144,41.1920758455507
0,-70,-90,-0.056302130451527946,-0.013297010865728029,0.055247964647362736,39.41783193949931
0,-70,-80,-0.05637099976034655,-0.009191504524846529,0.05407695819010411,37.37799843140442
0,-70,-70,-0.056414590593472695,-0.00432320163112707,0.05284889547791471,35.07168227774879
0,-70,-60,-0.056444443391647135,7.797986004774137E-4,0.051535421677203534,32.633770646274485
0,-70,-50,-0.05646150404451858,0.006048127715222078,0.050087202511756246,30.039088754273674
0,-70,-40,-0.05647307639300455,0.011502245912583106,0.04846987492646854,27.264299531807996
0,-70,-30,-0.0564741526163655,0.017039820943952698,0.04663201487430727,24.327488854508694
0,-70,-20,-0.05646921060058047,0.022285582084462796,0.04450512519759074,21.323380434011913
0,-70,-10,-0.056465892041213606,0.026999278796362616,0.042025756514967795,18.3082813367584
0,-70,0,-0.056464291477050246,0.031186507640845577,0.039285375038026725,15.322253412849724
0,-70,10,-0.05646261782353712,0.03488179803317342,0.03627872909027769,12.3692224303
0,-70,20,-0.05645023970774796,0.03834114194949846,0.033022666437409295,9.38764406120896
0,-70,30,-0.05642496385401399,0.041647739193119586,0.029539354221883436,6.366281423575348
0,-70,40,-0.05640321219990168,0.04463405384574195,0.02573919259383831,3.318513380322237
0,-70,50,-0.056394618086154515,0.04725670242810118,0.021540144656343897,0.24247108250308874
0,-70,60,-0.05638766890142759,0.04944174119277806,0.016942074681374257,-2.820068941694393
0,-70,70,-0.056385589906910685,0.05125249219755883,0.01177611197524946,-5.9365161747796185
0,-70,80,-0.05637574893214275,0.052799453071415356,0.006444853542958575,-8.998342491876217
0,-70,90,-0.05634924431010641,0.05420111235462308,0.0012360622659008842,-11.963218248712904
0,-70,100,-0.05631186926478507,0.055487113267715715,-0.0038465364272457494,-14.854172418409233
0,-60,-100,-0.05491038156761152,-0.01675396313940931,0.05527168067001994,40.32344104552757
0,-60,-90,-0.05503958333775581,-0.013364394788152944,0.05409598689874055,38.484399000834145
0,-60,-80,-0.05511759775879698,-0.00923753870485057,0.05285399581648778,36.39911615157995
0,-60,-70,-0.05516264251967859,-0.004355191789513905,0.05154635628176888,34.04752760349737
0,-60,-60,-0.055195567099639305,7.797348223030009E-4,0.05012644457082236,31.546077721822975
0,-60,-50,-0.05522156865847053,0.006093736048052544,0.04855462266286727,28.875786639873148
0,-60,-40,-0.05523100495765081,0.011606833166332839,0.04676410404063275,25.995634542993052
0,-60,-30,-0.05523103168508146,0.017208829283447875,0.044738990408642605,22.94882038722233
0,-60,-20,-0.055230812066241475,0.02259640864629645,0.04242004240822457,19.812961238170082
0,-60,-10,-0.05522773653608311,0.027444729172717532,0.039804893700446674,16.69000808100918
0,-60,0,-0.055226198063144966,0.031756279689624925,0.03687031518410146,13.587843403267254
0,-60,10,-0.05521702519467902,0.035513376153646546,0.03365546956106593,10.533056357288125
0,-60,20,-0.0552032100086118,0.03900478978253123,0.030184366791964273,7.468805773941334
0,-60,30,-0.05518277566908006,0.042290034589248064,0.026308090549158728,4.31454587683594
0,-60,40,-0.05516751769441716,0.04513139826746726,0.02192772250795611,1.105445238241892
0,-60,50,-0.055150785431842216,0.04756613079616991,0.017170496388118135,-2.101470417805518
0,-60,60,-0.055130597089244865,0.049609673952907864,0.011873895757737219,-5.3459450467913765
0,-60,70,-0.0551056735004845,0.05133339539735456,0.006476823214403017,-8.505662317303088
0,-60,80,-0.05507200293947146,0.052839884583568635,0.0012265797912696795,-11.528711378400597
0,-60,90,-0.05501835912642283,0.054217356905116684,-0.0038832513270835403,-14.466046687747795
0,-60,100,-0.05495654966065795,0.05548615495344736,-0.008856658005079579,-17.32184000885741
0,-50,-100,-0.05349756727858947,-0.01690356865479585,0.05413299626827464,39.406425252846645
0,-50,-90,-0.05365894766653615,-0.013453937567733628,0.052876752242035786,37.50747782333701
0,-50,-80,-0.053774241551212076,-0.00928596525150942,0.05155369678503852,35.36977956863952
0,-50,-70,-0.05383099220542121,-0.004387450636091147,0.0501527052468461,32.96871915562385
0,-50,-60,-0.05387062080342972,7.846293321266542E-4,0.04862003958373648,30.400184871066998
0,-50,-50,-0.053905156883559985,0.006159954370587695,0.04687579904377891,27.624619495720378
0,-50,-40,-0.05392510090801796,0.011730593932785478,0.0449060796986096,24.64084901369974
0,-50,-30,-0.0539334758080858,0.017404428228094928,0.04268148472901437,21.478189420346943
0,-50,-20,-0.0539296526814977,0.022930133240712282,0.04019148867847194,18.21961180695896
0,-50,-10,-0.05391627301555233,0.027892470923767183,0.03735002980955063,14.967937960601448
0,-50,0,-0.05389635050953759,0.03229969545230182,0.0342215286023273,11.759536581294999
0,-50,10,-0.05388163853880686,0.03612568249879577,0.030785178034852343,8.606740805249947
0,-50,20,-0.053874174844490044,0.03960345586594864,0.02685333142334968,5.380381229110446
0,-50,30,-0.05385617062550889,0.04281404404669826,0.022364170704797896,2.026178786115702
0,-50,40,-0.05382263429421056,0.04549320077518686,0.017423644482097288,-1.3210957570904087
0,-50,50,-0.053790018928889224,0.0477658733790981,0.012000304410965288,-4.694641277628561
0,-50,60,-0.05374773081784098,0.04972855071783924,0.006527215189055402,-7.967527447628943
0,-50,70,-0.05369983028690158,0.05139284987633547,0.001215317532140299,-11.078499585215374
0,-50,80,-0.05363962225391135,0.052866294661996265,-0.003927154649607259,-14.068572159403029
0,-50,90,-0.053560027658091806,0.05422473099804209,-0.008935026053296973,-16.973814988114587
0,-50,100,-0.05345109611715027,0.05548731492052811,-0.013553451839792518,-19.70350066531181
0,-40,-100,-0.05197590989061961,-0.017080425071323218,0.052926277416662906,38.454257882985345
0,-40,-90,-0.05218503947095698,-0.01356071112324096,0.05158848570886441,36.495472502288365
0,-40,-80,-0.052315216681398255,-0.009356533207406465,0.05017479395648863,34.30370117649653
0,-40,-70,-0.052401751262032066,-0.004411194729420641,0.04866854431410281,31.836958002610764
0,-40,-60,-0.05246088503143918,8.162176270853272E-4,0.04697186044492677,29.16829000079099
0,-40,-50,-0.052505460261273805,0.006243524981924326,0.04504497759566169,26.28767363911264
0,-40,-40,-0.052531688543894506,0.011875413806612844,0.04287030653547772,23.18631689631688
0,-40,-30,-0.05253880810627148,0.01762775003177755,0.04044951644127105,19.904289138965922
0,-40,-20,-0.052528888309385215,0.023262650776470883,0.03771641832656555,16.50647044772321
0,-40,-10,-0.052516502456826805,0.028322408127465247,0.03467055068280101,13.146429425123037
0,-40,0,-0.05249747245280712,0.032824353679950936,0.0313088242781186,9.828375297967888
0,-40,10,-0.052487619341759675,0.03667238873838584,0.02737787841515411,6.494776074876933
0,-40,20,-0.05244398779143969,0.040108769808364884,0.02280123087521816,3.041867906531638
0,-40,30,-0.05240421401354225,0.04322746001104827,0.017705082148982934,-0.49124631414706876
0,-40,40,-0.052364391604155604,0.045741804725724776,0.012149127243538203,-3.982866780478212
0,-40,50,-0.05230686644956038,0.04792593212521262,0.0066020022094066,-7.361679419146574
0,-40,60,-0.052239434123985566,0.049821635310271846,0.0012178132322944958,-10.589617947385944
0,-40,70,-0.052153571648496565,0.051433893765371066,-0.00398066659642924,-13.66193147244557
0,-40,80,-0.052053761855054885,0.052881382533288175,-0.00902706371861811,-16.621565480482676
0,-40,90,-0.051908213433566525,0.05423331969392946,-0.013698230847906601,-19.41434773838629
0,-40,100,-0.05168234215337548,0.05550491960312419,-0.017709112110729244,-21.94190706188075
0,-30,-100,-0.05026745406506081,-0.01729781886160782,0.05164244220192441,37.45660569875966
0,-30,-90,-0.05052765104339722,-0.01369606849615105,0.050218364276444674,35.43306283816513
0,-30,-80,-0.0506979265312598,-0.009429686789765983,0.04871147074857976,33.17667931244935
0,-30,-70,-0.05080523216024778,-0.004437668008107852,0.047044112276887554,30.614742258770633
0,-30,-60,-0.0508899379148984,8.544814480606179E-4,0.04516317606311283,27.838546904871432
0,-30,-50,-0.05094956439512166,0.006343351828842151,0.04303077623863949,24.84162142595593
0,-30,-40,-0.050987869198426315,0.01203915560094937,0.04066614156794202,21.628576503110263
0,-30,-30,-0.051016180301391684,0.017851725491224962,0.037974852599699155,18.210559926181325
0,-30,-20,-0.0510170464702398,0.023573007972045364,0.0350184130515519,14.70284834268766
0,-30,-10,-0.05100918912872083,0.028730312682395103,0.0317279615914237,11.222511892340355
0,-30,0,-0.05095357018064343,0.03329068147437294,0.02781157639325237,7.675271750385066
0,-30,10,-0.05090314833034586,0.037150278712039374,0.023208851109890693,4.097077825315567
0,-30,20,-0.050862398001774826,0.04052074374353022,0.01802115499967442,0.46941761190618453
0,-30,30,-0.050813866909666945,0.04350476272093629,0.012330440145192745,-3.2113261360814973
0,-30,40,-0.05075054318484225,0.04594252977114535,0.006698285870514545,-6.7047630110087395
0,-30,50,-0.050655059031108875,0.048065656847348884,0.0012312451915375742,-10.048173379507254
0,-30,60,-0.050531924232777296,0.04989613240014169,-0.004036729676948391,-13.237625212855129
0,-30,70,-0.050376260726578845,0.05146081660713053,-0.009144303330615066,-16.281099261654596
0,-30,80,-0.05017142717948493,0.05290735039401271,-0.013890036947192527,-19.155351843025795
0,-30,90,-0.049871245128188045,0.054268511397520404,-0.01798459194360142,-21.76697765071503
0,-30,100,-0.049460026120765076,0.05552945106817384,-0.021423452181888472,-24.116240255712317
0,-20,-100,-0.04834583481438034,-0.01758381152633519,0.05029179934931903,36.43150475798523
0,-20,-90,-0.048675436244626676,-0.013875470581346435,0.04878281381666821,34.33525354579782
0,-20,-80,-0.04890784126022931,-0.009513643524088584,0.04712699105347568,31.976549507382714
0,-20,-70,-0.04905368745961042,-0.004456913805315946,0.045270212466548845,29.304672494772287
0,-20,-60,-0.04915681765012934,8.955333273052116E-4,0.04318006255296365,26.410061181650764
0,-20,-50,-0.04923262858667678,0.006454297994742905,0.04086141429366671,23.299362614789665
0,-20,-40,-0.04928176211737823,0.012217787167035737,0.0381958794422121,19.935012623878887
0,-20,-30,-0.049300125535093386,0.018069107363608283,0.03526409140718032,16.40577870019555
0,-20,-20,-0.04926868248796633,0.0238664308084092,0.03202789733110609,12.75759327442665
0,-20,-10,-0.04923924782052007,0.02910379500590415,0.02816372603155761,9.033814800569102
0,-20,0,-0.049208387167905834,0.03370395556037573,0.02357568748289899,5.250977859948443
0,-20,10,-0.049149435644765996,0.03754676424114196,0.01831385442849361,1.469608145248557
0,-20,20,-0.049089679228146645,0.040834457350446524,0.012548282311591963,-2.320748409766182
0,-20,30,-0.0489909091210436,0.04373444491955052,0.006810560980216772,-5.9916064033159495
0,-20,40,-0.04885876003342372,0.046109039279623724,0.001248133883028665,-9.467855947396473
0,-20,50,-0.04868953225711783,0.048182711035215896,-0.004108885858698574,-12.793725980353951
0,-20,60,-0.048481533065418504,0.04996427397183337,-0.009301057385287883,-15.968482245108746
0,-20,70,-0.04822692144650967,0.05149889728597305,-0.014119115681123688,-18.917151018275593
0,-20,80,-0.0478717099703234,0.052951051618559467,-0.018310749596390976,-21.617243467029766
0,-20,90,-0.04740026969439843,0.05432262139849715,-0.02189676943415005,-24.083823677828775
0,-20,100,-0.04677538609113148,0.05556600909700688,-0.024867793187215062,-26.29470783815302
0,-10,-100,-0.04620639012150345,-0.017931778646879167,0.048860467144258984,35.36630405091595
0,-10,-90,-0.04660171337020382,-0.014082580822304925,0.04722928604982781,33.16722376213297
0,-10,-80,-0.04689471282243448,-0.009608996460302905,0.045396812184175774,30.688815412669292
0,-10,-70,-0.04710363720646549,-0.004487178094585113,0.043316226274161325,27.89603529729274
0,-10,-60,-0.04725277999470856,9.416526589325189E-4,0.041032402208239775,24.88450297771049
0,-10,-50,-0.047349935225936036,0.0065843473840526585,0.03840207825473884,21.609616986713316
0,-10,-40,-0.04738730085631086,0.012397119469609174,0.03546284420584199,18.105866200394082
0,-10,-30,-0.04736864557235558,0.01828441135280745,0.03223342302541289,14.440261784986488
0,-10,-20,-0.04732912125440881,0.02415088708497407,0.028436831645823765,10.561616389275557
0,-10,-10,-0.047289903061216346,0.029438262611071013,0.02388668265853423,6.591654227202357
0,-10,0,-0.047265715296041975,0.034043667631022255,0.018594427210621132,2.589627510861244
0,-10,10,-0.04720253178985524,0.037875056541716114,0.012768876395149781,-1.376635427223654
0,-10,20,-0.04706491906680484,0.04114436110395036,0.006932243812040402,-5.201683022487549
0,-10,30,-0.04687032280593886,0.04395993862170994,0.0012574032149421104,-8.859606028246459
0,-10,40,-0.046639200267815525,0.04626943399997109,-0.004193812349765819,-12.319765939282552
0,-10,50,-0.04638205112470569,0.048288669062157126,-0.009470084317591092,-15.62859651161375
0,-10,60,-0.046079841933056344,0.050027168093946105,-0.014391719476707258,-18.710763717059308
0,-10,70,-0.04566516226420793,0.05155817580486521,-0.018690403518173887,-21.497010977266722
0,-10,80,-0.04512891647266695,0.05301339805283363,-0.0224205068965512,-24.066795038537276
0,-10,90,-0.044446689860760835,0.05436227843576945,-0.025541167709201545,-26.393540676667442
0,-10,100,-0.04369895478140857,0.0556050218879228,-0.02833203885235618,-28.556597617101303
0,0,-100,-0.043640885399042956,-0.018317906416458293,0.047355600930223306,34.23026379752369
0,0,-90,-0.04409092228998758,-0.014316087691550745,0.04555509720945585,31.906206682338695
0,0,-80,-0.04443605689543942,-0.009712062008815055,0.04345874796231698,29.26312363893571
0,0,-70,-0.044689234661045185,-0.004539532892482094,0.041189599054359,26.36098418017442
0,0,-60,-0.0448685379512615,9.783797255174E-4,0.038591641885954674,23.175487750108598
0,0,-50,-0.044976115375278944,0.006697424390996285,0.035633600139266364,19.7260974237649
0,0,-40,-0.045019608020794924,0.012554643395606399,0.032409098278823004,16.09293182729944
0,0,-30,-0.04501339696090318,0.018482888168842172,0.028634174861667805,12.211283514159708
0,0,-20,-0.044971218102242055,0.02440610347782869,0.024139054669969007,8.077842378206462
0,0,-10,-0.04491250323200741,0.029741969319649685,0.018825624885414685,3.851039767489324
0,0,0,-0.044820727552279276,0.03434263309011576,0.012966836491072659,-0.340651620766833
0,0,10,-0.04467167431516255,0.03816973362980946,0.007058340340936715,-4.350723747492389
0,0,20,-0.044452195440422754,0.041428380459505046,0.001258142199318116,-8.201087402936535
0,0,30,-0.04417784933525263,0.04417548738545878,-0.0042874386263596345,-11.841277814804672
0,0,40,-0.043856673976320905,0.04642044848083094,-0.0096558506424995,-15.284810375885185
0,0,50,-0.04349926054741651,0.04837736032821278,-0.014686942645927818,-18.504923887323482
0,0,60,-0.043051010880802106,0.05009372263390404,-0.019103201807600216,-21.420483443134287
0,0,70,-0.04248512876112964,0.05162802069345565,-0.02297034369699502,-24.081658082521994
0,0,80,-0.041816590347434485,0.05308602142531633,-0.026209588807324213,-26.49465137326924
0,0,90,-0.041106510251555727,0.05439676235786075,-0.029039312044943345,-28.690976832288335
0,0,100,-0.040381243723747275,0.05563817883080013,-0.03167304992339815,-30.771953403070864
0,10,-100,-0.04072735910054663,-0.018717712959832003,0.04570607937513391,32.989723264418274
0,10,-90,-0.04122444820229524,-0.014549215263409099,0.04366272590528488,30.502449482205975
0,10,-80,-0.04160856530419624,-0.009835811624686294,0.041373342405049834,27.73139703156916
0,10,-70,-0.04188553815375037,-0.004596237691943941,0.03877522599976751,24.652909952218703
0,10,-60,-0.04208337416636261,0.0010030235163619177,0.035808251968342496,21.277995396173626
0,10,-50,-0.04221118573873912,0.0067838086029642225,0.0325707799947198,17.688817622030133
0,10,-40,-0.04225303439358588,0.012689891783725031,0.028786837618478382,13.821707859955728
0,10,-30,-0.04222766880629304,0.018672926248299984,0.024307427796414583,9.669825026323453
0,10,-20,-0.042153245527710104,0.024664640414078367,0.019016464795037907,5.254735616166902
0,10,-10,-0.04202840593174656,0.03001653396092802,0.013123112914233225,0.8341755243623457
0,10,0,-0.04185341114409069,0.0346484033380791,0.007160893496345759,-3.4197136149243867
0,10,10,-0.04162894169361566,0.03846874410600486,0.0012781609049003619,-7.457876665817787
0,10,20,-0.04133824453377874,0.04165368920082748,-0.004383048049373424,-11.282817269474906
0,10,30,-0.04101168076825623,0.04435891662435003,-0.009842655455052312,-14.912076699879503
0,10,40,-0.04060902186611776,0.046559360230055594,-0.014994605740682393,-18.289475611102556
0,10,50,-0.04011303753655338,0.04848633171622997,-0.01954588849931397,-21.350373755360604
0,10,60,-0.03956330399576568,0.050168002953917365,-0.023503916325703613,-24.093992735851
0,10,70,-0.03892813286404338,0.05170600793015451,-0.026829200650414033,-26.5602750155971
