ang(deg),IA (A),IB (A),Axial torque (N*m)
50,-4,7,2.139224613913228
50,-4,8,2.3664746272880737
50,-4,9,2.593244310832286
50,-4,10,2.8185366657691
50,-3,-10,-2.3063589518237553
50,-3,-9,-2.042418203266487
50,-3,-8,-1.7797536130465015
50,-3,-7,-1.5194007140479222
50,-3,-6,-1.2598252098768576
50,-3,-5,-1.001093542935846
50,-3,-4,-0.7427224471398445
50,-3,-3,-0.48472931474742276
50,-3,-2,-0.2271193464677795
50,-3,-1,0.029960133330276223
50,-3,0,0.28440574210309844
50,-3,1,0.5355830158769918
50,-3,2,0.7768641392957596
50,-3,3,1.0160676917156128
50,-3,4,1.2530621415932093
50,-3,5,1.4853011478114941
50,-3,6,1.715818566610562
50,-3,7,1.9453223542091946
50,-3,8,2.1727881760196315
50,-3,9,2.39955740330323
50,-3,10,2.624910890124308
50,-2,-10,-2.4914288122147594
50,-2,-9,-2.2282141069680423
50,-2,-8,-1.966649047705488
50,-2,-7,-1.706822183348259
50,-2,-6,-1.4478679018471636
50,-2,-5,-1.1893287584942682
50,-2,-4,-0.9309614160521726
50,-2,-3,-0.6732313265288223
50,-2,-2,-0.4158461127747137
50,-2,-1,-0.1595128857741899
50,-2,0,0.09395968928893456
50,-2,1,0.34417032992955743
50,-2,2,0.5848836016552098
50,-2,3,0.8234519697765095
50,-2,4,1.060008038781677
50,-2,5,1.2921353912584368
50,-2,6,1.5227507484527099
50,-2,7,1.752767054555742
50,-2,8,1.9802236208216062
50,-2,9,2.206809122301181
50,-2,10,2.432085399639701
50,-1,-10,-2.673772685635144
50,-1,-9,-2.411683016873347
50,-1,-8,-2.1514207945237716
50,-1,-7,-1.8924636589092416
50,-1,-6,-1.6341541438120433
50,-1,-5,-1.3758527415742392
50,-1,-4,-1.1179784414642984
50,-1,-3,-0.8605786692917059
50,-1,-2,-0.6035803092018777
50,-1,-1,-0.3483453421840434
50,-1,0,-0.09621649959521542
50,-1,1,0.15275501154089513
50,-1,2,0.3929470836293509
50,-1,3,0.6312534205119221
50,-1,4,0.8677205649750767
50,-1,5,1.100207402229167
50,-1,6,1.3313380530001382
50,-1,7,1.5612069366981998
50,-1,8,1.7881862349942321
50,-1,9,2.014808136289518
50,-1,10,2.2399617640009963
50,0,-10,-2.8493647723197486
50,0,-9,-2.5886152522045864
50,0,-8,-2.3295248550275183
50,0,-7,-2.0711611833234347
50,0,-6,-1.8129996003835391
50,0,-5,-1.555316599390261
50,0,-4,-1.2980648851759442
50,0,-3,-1.040723697288894
50,0,-2,-0.7847639303877316
50,0,-1,-0.5310019897320363
50,0,0,-0.2803906881691902
50,0,1,-0.032169323338210154
50,0,2,0.20757912378206606
50,0,3,0.44565778957909985
50,0,4,0.6828607069273803
50,0,5,0.9153736700925442
50,0,6,1.1461587995909333
50,0,7,1.3754720442821582
50,0,8,1.6026160966462548
50,0,9,1.829331126939702
50,0,10,2.05397501110883
50,1,-10,-3.024170912161476
50,1,-9,-2.7647579889731992
50,1,-8,-2.5059919538997026
50,1,-7,-2.247918140258281
50,1,-6,-1.9902393258554278
50,1,-5,-1.7327587649014469
50,1,-4,-1.475688810030883
50,1,-3,-1.2189148248025796
50,1,-2,-0.963581477352507
50,1,-1,-0.7111950761172686
50,1,0,-0.46103044763089895
50,1,1,-0.2130364576816439
50,1,2,0.02669804450614241
50,1,3,0.26518792072032354
50,1,4,0.501884286388407
50,1,5,0.7339729795806219
50,1,6,0.9644315369429086
50,1,7,1.1939793175620947
50,1,8,1.4212020881980576
50,1,9,1.6471633169494537
50,1,10,1.8711089715574478
50,2,-10,-3.199653575072637
50,2,-9,-2.9406875544969315
50,2,-8,-2.682430175644405
50,2,-7,-2.4248532468802746
50,2,-6,-2.167539843965813
50,2,-5,-1.9101990686324337
50,2,-4,-1.6531916847195967
50,2,-3,-1.3975589420049102
50,2,-2,-1.1428996363650346
50,2,-1,-0.8910324418555091
50,2,0,-0.6407675121753461
50,2,1,-0.39294014953525325
50,2,2,-0.15347855643332653
50,2,3,0.08526754918516413
50,2,4,0.3214563408844933
50,2,5,0.5528200574080873
50,2,6,0.7832336702753713
50,2,7,1.0125353274599107
50,2,8,1.2394969725233222
50,2,9,1.4653429262180306
50,2,10,1.6885342281078823
50,3,-10,-3.3739468394973335
50,3,-9,-3.1155557307727872
50,3,-8,-2.8580553843818324
50,3,-7,-2.6007886135556126
50,3,-6,-2.343792148117483
50,3,-5,-2.0869116286930343
50,3,-4,-1.8297927654922503
50,3,-3,-1.5748877408378834
50,3,-2,-1.3214753650020763
50,3,-1,-1.0694896180637317
50,3,0,-0.8194990912773987
50,3,1,-0.5719344549594794
50,3,2,-0.3331023103319969
50,3,3,-0.09455810628827521
50,3,4,0.14104330368460485
50,3,5,0.37201700704430024
50,3,6,0.6023068459265385
50,3,7,0.8313891422335901
50,3,8,1.0581772102210139
50,3,9,1.283330874521641
50,3,10,1.5070326316546137
50,4,-10,-3.547228535390005
50,4,-9,-3.2895826254388267
50,4,-8,-3.0323647081396694
50,4,-7,-2.775496248171865
50,4,-6,-2.518306893566774
50,4,-5,-2.2609146638688196
50,4,-4,-2.0050720171029965
50,4,-3,-1.750875637961252
50,4,-2,-1.4974262062360448
50,4,-1,-1.2461744333836435
50,4,0,-0.9961361304963199
50,4,1,-0.7492769783651204
50,4,2,-0.5104963954047222
50,4,3,-0.27278092435650947
50,4,4,-0.037830969528799385
50,4,5,0.19293515004852602
50,4,6,0.4229968365023821
50,4,7,0.6519295489660004
50,4,8,0.8781912594944357
50,4,9,1.1031570901407046
50,4,10,1.3264412952018434
50,5,-10,-3.7206821923236304
50,5,-9,-3.463527662764577
50,5,-8,-3.2063384157667247
50,5,-7,-2.949247311979025
50,5,-6,-2.6918743929131947
50,5,-5,-2.434719378730106
50,5,-4,-2.1799869177423616
50,5,-3,-1.9259159354655788
50,5,-2,-1.6734764153275707
50,5,-1,-1.422130758483742
50,5,0,-1.1722909403734592
50,5,1,-0.9263606854464747
50,5,2,-0.6882538783284231
50,5,3,-0.4509259968201833
50,5,4,-0.2160461796994992
50,5,5,0.014343985454217473
50,5,6,0.24448057806702958
50,5,7,0.47309457370843
50,5,8,0.6989629161147102
50,5,9,0.9238168712576136
50,5,10,1.146791618528508
50,6,-10,-3.893863365670465
50,6,-9,-3.6365926231021444
50,6,-8,-3.3797610677792957
50,6,-7,-3.1222600347646723
50,6,-6,-2.8654054568295826
50,6,-5,-2.6085406657170136
50,6,-4,-2.3541719860067927
50,6,-3,-2.1009727008630845
50,6,-2,-1.8484621296427441
50,6,-1,-1.5979923154987743
50,6,0,-1.3490167276881273
50,6,1,-1.1037670783873166
50,6,2,-0.8664538965508094
50,6,3,-0.6286610569498327
50,6,4,-0.3940628884547878
50,6,5,-0.16345614115240426
50,6,6,0.06648954071419813
50,6,7,0.29439627050502887
50,6,8,0.5199964575033469
50,6,9,0.7448002919218657
50,6,10,0.9673559871139101
50,7,-10,-4.062128230557261
50,7,-9,-3.805192039812198
50,7,-8,-3.5477131087147784
50,7,-7,-3.2903241518867388
50,7,-6,-3.0331767544634376
50,7,-5,-2.7782857338537927
50,7,-4,-2.5249729708062207
50,7,-3,-2.272268057181638
50,7,-2,-2.0208763155637444
50,7,-1,-1.7710765126662504
50,7,0,-1.523022503001714
50,7,1,-1.278215803072299
50,7,2,-1.0404433126061556
50,7,3,-0.8034852834500441
50,7,4,-0.5691369234348802
50,7,5,-0.33868295067335885
50,7,6,-0.10881414700247832
50,7,7,0.11829312517317803
50,7,8,0.34348138734583883
50,7,9,0.5684823016358774
50,7,10,0.7909245225888164
50,8,-10,-4.226722014851347
50,8,-9,-3.968342664176236
50,8,-8,-3.7105167762532294
50,8,-7,-3.4528560158250428
50,8,-6,-3.197212058467177
50,8,-5,-2.9430949786149925
50,8,-4,-2.6904410247429382
50,8,-3,-2.438191486524059
50,8,-2,-2.1874011717586703
50,8,-1,-1.9389967326798925
50,8,0,-1.6910665978427906
50,8,1,-1.4465202686312086
50,8,2,-1.2090470228543997
50,8,3,-0.9722162892492634
50,8,4,-0.7383113322913182
50,8,5,-0.508109562891837
50,8,6,-0.27832629339089177
50,8,7,-0.052081856811669075
50,8,8,0.17321734515593729
50,8,9,0.3981443320213136
50,8,10,0.6200679134374577
50,9,-10,-4.386491336319428
50,9,-9,-4.12897389325379
50,9,-8,-3.8711514760876353
50,9,-7,-3.6143459444173494
50,9,-6,-3.3596426649410063
50,9,-5,-3.106334292506437
50,9,-4,-2.8539827245632523
50,9,-3,-2.6023133753083623
50,9,-2,-2.3524705115965525
50,9,-1,-2.104246355488234
50,9,0,-1.856445134521361
50,9,1,-1.6126617613755725
50,9,2,-1.3751574440900225
50,9,3,-1.138365893297028
50,9,4,-0.9049167692810608
50,9,5,-0.6752107765100481
50,9,6,-0.44676238211654573
50,9,7,-0.22003025047139899
50,9,8,0.00521006918846012
50,9,9,0.22959150188727234
50,9,10,0.4518003715086467
50,10,-10,-4.5464551884827715
50,10,-9,-4.288863499448667
50,10,-8,-4.031224842702908
50,10,-7,-3.7755211569484164
50,10,-6,-3.521584196930655
50,10,-5,-3.268699573934089
50,10,-4,-3.017171148114817
50,10,-3,-2.766455678890159
50,10,-2,-2.5170244693184602
50,10,-1,-2.268875486180954
50,10,0,-2.021465758443966
50,10,1,-1.7782062625084487
50,10,2,-1.5407858799863745
50,10,3,-1.304105714526969
50,10,4,-1.0713942813379633
50,10,5,-0.8422098930675168
50,10,6,-0.6145876384282668
50,10,7,-0.3873840109830634
50,10,8,-0.16235663678587564
50,10,9,0.062688712250938
50,10,10,0.28487522450874886
51,-10,-10,-0.3300452954878066
51,-10,-9,-0.09401766646705734
51,-10,-8,0.14155839671171064
51,-10,-7,0.37571880982291295
51,-10,-6,0.6100664864541528
51,-10,-5,0.8428097725839252
51,-10,-4,1.0667187939176355
51,-10,-3,1.2880237244743196
51,-10,-2,1.5081255660415331
51,-10,-1,1.723392303998246
51,-10,0,1.9369608424854512
51,-10,1,2.1473579250452843
51,-10,2,2.354892754227812
51,-10,3,2.5609443843973096
51,-10,4,2.7659431899757014
51,-10,5,2.9639782495078153
51,-10,6,3.1592943275794982
51,-10,7,3.354909987925353
51,-10,8,3.550087117494193
51,-10,9,3.7434601200282183
51,-10,10,3.9358055712969966
51,-9,-10,-0.5703986381836114
51,-9,-9,-0.33433185736260596
51,-9,-8,-0.09895621810023639
51,-9,-7,0.13606826796965188
51,-9,-6,0.370498154007032
51,-9,-5,0.6031639721443466
51,-9,-4,0.8278364847658554
51,-9,-3,1.048996160212626
51,-9,-2,1.2692831994098315
51,-9,-1,1.4841884724987857
51,-9,0,1.6968927786570116
51,-9,1,1.9070174174555905
51,-9,2,2.1139088985949277
51,-9,3,2.319855471199561
51,-9,4,2.5252807153939854
51,-9,5,2.725447257493152
51,-9,6,2.921861254575334
51,-9,7,3.117954246032509
51,-9,8,3.3133287596802536
51,-9,9,3.507102385117089
51,-9,10,3.6994239704000638
51,-8,-10,-0.8102838244236766
51,-8,-9,-0.5734253934515788
51,-8,-8,-0.3380434446067636
51,-8,-7,-0.10302235932465609
51,-8,-6,0.13138572115667468
51,-8,-5,0.36391870875613197
51,-8,-4,0.5891450676989743
51,-8,-3,0.8103402374679052
51,-8,-2,1.0301749303185763
51,-8,-1,1.2452118004277397
51,-8,0,1.4567872152078332
51,-8,1,1.666241974388428
51,-8,2,1.8737175040209713
51,-8,3,2.0805370075387892
51,-8,4,2.287575772030211
51,-8,5,2.4886707054485013
51,-8,6,2.6852736238389165
51,-8,7,2.8818427890636045
51,-8,8,3.077699259541442
51,-8,9,3.2713836426752883
51,-8,10,3.46385813882867
51,-7,-10,-1.0483458099240779
51,-7,-9,-0.8120706854806414
51,-7,-8,-0.5766511408416529
51,-7,-7,-0.34176227919029434
51,-7,-6,-0.10755245370892572
51,-7,-5,0.12510844391308762
51,-7,-4,0.35072986564561803
51,-7,-3,0.5717394912924749
51,-7,-2,0.7912813760974893
51,-7,-1,1.0059191778760543
51,-7,0,1.216940533530245
51,-7,1,1.4273281867021077
51,-7,2,1.6360852379885702
51,-7,3,1.8439488850908428
51,-7,4,2.0513613814974803
51,-7,5,2.2532790026752245
51,-7,6,2.4508124275229135
51,-7,7,2.6470105501789725
51,-7,8,2.8428169583216625
51,-7,9,3.0366981513991647
51,-7,10,3.2293349833085165
51,-6,-10,-1.2860905846022597
51,-6,-9,-1.0501063663085222
51,-6,-8,-0.8148476709199152
51,-6,-7,-0.579906861334153
51,-6,-6,-0.34564180089916996
51,-6,-5,-0.11286073891440737
51,-6,-4,0.11330798305281659
51,-6,-3,0.3337101790094495
51,-6,-2,0.5532759807767995
51,-6,-1,0.7678017121018892
51,-6,0,0.9794415319637726
51,-6,1,1.1912085126383445
51,-6,2,1.4003110792461775
51,-6,3,1.6084264540515698
51,-6,4,1.8164005806257746
51,-6,5,2.018920280338066
51,-6,6,2.2163471076603023
51,-6,7,2.412871543391097
51,-6,8,2.6090465075036806
51,-6,9,2.803005253577206
51,-6,10,2.9954466244028035
51,-5,-10,-1.5228976421431393
51,-5,-9,-1.2871301321833986
51,-5,-8,-1.051921840965171
51,-5,-7,-0.8169960461021974
51,-5,-6,-0.5828919896938525
51,-5,-5,-0.35014618792752206
51,-5,-4,-0.12362187609970104
51,-5,-3,0.09712879976808753
51,-5,-2,0.3166018966714362
51,-5,-1,0.5316056400062288
51,-5,0,0.744476204681124
51,-5,1,0.9560107508473041
51,-5,2,1.1655321949500643
51,-5,3,1.373951100149138
51,-5,4,1.5819933743638956
51,-5,5,1.7849333377503795
51,-5,6,1.982589562370277
51,-5,7,2.1795991133517543
51,-5,8,2.3756594783578975
51,-5,9,2.5696447665329147
51,-5,10,2.761948559500926
51,-4,-10,-1.7520876573795314
51,-4,-9,-1.5170525228465075
51,-4,-8,-1.2825194537187963
51,-4,-7,-1.0481016267137497
51,-4,-6,-0.8147001696998127
51,-4,-5,-0.5818604569818198
51,-4,-4,-0.3552287780958415
51,-4,-3,-0.13475887336465364
51,-4,-2,0.08514664889831483
51,-4,-1,0.3008991148298962
51,-4,0,0.5136198532696
51,-4,1,0.7252422114700107
51,-4,2,0.9349346834416186
51,-4,3,1.1434412152008624
51,-4,4,1.351830586427951
51,-4,5,1.55537360097797
51,-4,6,1.7535255553116267
51,-4,7,1.9504835283849415
51,-4,8,2.1465826122652856
51,-4,9,2.340535819412956
51,-4,10,2.5326700032747627
51,-3,-10,-1.9775701973853517
51,-3,-9,-1.7427403956208818
51,-3,-8,-1.5079388711794341
51,-3,-7,-1.2730847867923858
51,-3,-6,-1.0390817183607397
51,-3,-5,-0.8063813143512063
51,-3,-4,-0.5790550446304048
51,-3,-3,-0.3581707410989844
51,-3,-2,-0.13819905203823896
51,-3,-1,0.07757917791178232
51,-3,0,0.28990870026524607
51,-3,1,0.5016786147298513
51,-3,2,0.7114191195579286
51,-3,3,0.920159599713019
51,-3,4,1.128702258894954
51,-3,5,1.3323551662745294
51,-3,6,1.5304250148029408
51,-3,7,1.7272125844499435
51,-3,8,1.9230041372556914
51,-3,9,2.1166414439432133
51,-3,10,2.3088275559995393
51,-2,-10,-2.202323636665486
51,-2,-9,-1.967220749193947
51,-2,-8,-1.7318619349419924
51,-2,-7,-1.496610102180517
51,-2,-6,-1.2624535832915058
51,-2,-5,-1.0288935153219712
51,-2,-4,-0.8013543058522604
51,-2,-3,-0.5809398929405176
51,-2,-2,-0.3610407309557545
51,-2,-1,-0.14553895270277478
51,-2,0,0.06688021172234102
51,-2,1,0.27841552502055494
51,-2,2,0.4885726096862717
51,-2,3,0.6982441168560071
51,-2,4,0.9058957348443053
51,-2,5,1.1098194883162482
51,-2,6,1.30774058101201
51,-2,7,1.5043573462452737
51,-2,8,1.6999824697598445
51,-2,9,1.8935143085842654
51,-2,10,2.0856402173017443
51,-1,-10,-2.421951158803377
51,-1,-9,-2.18665267236414
51,-1,-8,-1.9515794953561088
51,-1,-7,-1.7154278244776848
51,-1,-6,-1.4803105148343587
51,-1,-5,-1.247402100967643
51,-1,-4,-1.0206251148003647
51,-1,-3,-0.8001108417480602
51,-1,-2,-0.5805197245426373
51,-1,-1,-0.3652631793001978
51,-1,0,-0.1529077153390911
51,-1,1,0.058974492187907845
51,-1,2,0.2696568621465285
51,-1,3,0.47807678496621187
51,-1,4,0.6869184462628815
51,-1,5,0.8907927966448297
51,-1,6,1.0887752367318835
51,-1,7,1.2850436048120328
51,-1,8,1.4804515467010966
51,-1,9,1.6732195412582103
51,-1,10,1.8663495590409975
51,0,-10,-2.639444975016557
51,0,-9,-2.4035782347379726
51,0,-8,-2.166672175527236
51,0,-7,-1.9299373883560742
51,0,-6,-1.6954550583357304
51,0,-5,-1.4629793921219447
51,0,-4,-1.2361000282235521
51,0,-3,-1.0159814172949753
51,0,-2,-0.7967391777768256
51,0,-1,-0.5813845668637546
51,0,0,-0.36901417743365605
51,0,1,-0.15707665000910814
51,0,2,0.05306842405578158
51,0,3,0.2622285515362156
51,0,4,0.4709771586599795
51,0,5,0.6749181091634497
51,0,6,0.8725168193608714
51,0,7,1.068315355835131
51,0,8,1.2630144651648587
51,0,9,1.457319163835799
51,0,10,1.6503407286220892
51,1,-10,-2.8544114565717633
51,1,-9,-2.6172440234838197
51,1,-8,-2.3801093049249267
51,1,-7,-2.143780402989962
51,1,-6,-1.909854443054793
51,1,-5,-1.6778449543296476
51,1,-4,-1.4514693208271126
51,1,-3,-1.2315700641007046
51,1,-2,-1.0122652080361734
51,1,-1,-0.7970382595123043
51,1,0,-0.5846833695962307
51,1,1,-0.37283986491439747
51,1,2,-0.16266384759917188
51,1,3,0.0464010992153191
51,1,4,0.25525249285806756
51,1,5,0.45898145492229503
51,1,6,0.6559510897622975
51,1,7,0.8518639262496882
51,1,8,1.0475922727334164
51,1,9,1.242356684318893
51,1,10,1.4356491086108207
51,2,-10,-3.0657773040225074
51,2,-9,-2.8287205820040504
51,2,-8,-2.591316807074975
51,2,-7,-2.3558883385293403
